Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
FuzzBuild/Debug/lib/wabt/config.h                                            17                17     0.00%          11                11     0.00%          15                15     0.00%           4                 4     0.00%
bin/ChakraCore/TestHooks.cpp                                               1865                34    98.18%          16                10    37.50%         111                46    58.56%           8                 5    37.50%
bin/ch/ChakraRtInterface.cpp                                                 69                37    46.38%           7                 3    57.14%          66                24    63.64%          20                12    40.00%
bin/ch/ChakraRtInterface.h                                                  338               254    24.85%         139               109    21.58%         176               139    21.02%          48                36    25.00%
bin/ch/Debugger.cpp                                                        1035              1035     0.00%          31                31     0.00%         361               361     0.00%         206               206     0.00%
bin/ch/Debugger.h                                                             1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
bin/ch/Helpers.cpp                                                          618               539    12.78%          18                16    11.11%         450               353    21.56%         266               237    10.90%
bin/ch/HostConfigFlags.cpp                                                  267               255     4.49%          11                 9    18.18%         112                93    16.96%          62                57     8.06%
bin/ch/HostConfigFlags.h                                                      7                 7     0.00%           1                 1     0.00%          10                10     0.00%           4                 4     0.00%
bin/ch/MessageQueue.h                                                       104                92    11.54%          27                20    25.93%         161               137    14.91%          34                31     8.82%
bin/ch/RuntimeThreadData.cpp                                                124               123     0.81%           6                 5    16.67%          79                76     3.80%          24                24     0.00%
bin/ch/WScriptJsrt.cpp                                                     2358              1953    17.18%          71                60    15.49%        1732              1521    12.18%         796               710    10.80%
bin/ch/WScriptJsrt.h                                                         45                45     0.00%           4                 4     0.00%          33                33     0.00%          20                20     0.00%
bin/ch/ch.cpp                                                              1055               861    18.39%          21                16    23.81%         712               511    28.23%         312               249    20.19%
bin/ch/stdafx.h                                                              62                27    56.45%          17                10    41.18%         114                46    59.65%          30                17    43.33%
lib/Backend/AgenPeeps.cpp                                                   276               265     3.99%           7                 6    14.29%         165               155     6.06%         210               207     1.43%
lib/Backend/AgenPeeps.h                                                       1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/AsmJsJITInfo.cpp                                                 75                75     0.00%          13                13     0.00%          51                51     0.00%          16                16     0.00%
lib/Backend/AsmJsJITInfo.h                                                    4                 4     0.00%           4                 4     0.00%           4                 4     0.00%           0                 0         -
lib/Backend/BackendApi.cpp                                                  137                95    30.66%          25                14    44.00%         121                71    41.32%          42                33    21.43%
lib/Backend/BackendOpCodeAttrAsmJs.cpp                                       48                48     0.00%           5                 5     0.00%          23                23     0.00%          10                10     0.00%
lib/Backend/BackwardPass.cpp                                              11762              8307    29.37%         167                57    65.87%        7436              3755    49.50%        5492              3783    31.12%
lib/Backend/BackwardPass.h                                                   11                 9    18.18%           7                 5    28.57%          24                22     8.33%           4                 4     0.00%
lib/Backend/BailOut.cpp                                                    3084              2948     4.41%          60                54    10.00%        2097              1999     4.67%        1446              1407     2.70%
lib/Backend/BailOut.h                                                        83                52    37.35%          25                15    40.00%          93                63    32.26%          24                16    33.33%
lib/Backend/CaseNode.cpp                                                     36                36     0.00%           3                 3     0.00%          34                34     0.00%          14                14     0.00%
lib/Backend/CaseNode.h                                                      109               109     0.00%          18                18     0.00%          58                58     0.00%          26                26     0.00%
lib/Backend/CodeGenAllocators.cpp                                             3                 0   100.00%           3                 0   100.00%           7                 0   100.00%           0                 0         -
lib/Backend/CodeGenWorkItem.cpp                                             139                80    42.45%           9                 1    88.89%         141                77    45.39%          52                34    34.62%
lib/Backend/CodeGenWorkItem.h                                               191               128    32.98%          43                20    53.49%         141                67    52.48%          42                33    21.43%
lib/Backend/DbCheckPostLower.cpp                                            797               497    37.64%          10                 6    40.00%         325               117    64.00%         368               214    41.85%
lib/Backend/DbCheckPostLower.h                                                1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/EhFrame.cpp                                                      96                47    51.04%          11                 0   100.00%         121                19    84.30%          36                21    41.67%
lib/Backend/EhFrame.h                                                       116                62    46.55%          28                 2    92.86%          58                 4    93.10%          20                15    25.00%
lib/Backend/EmitBuffer.cpp                                                  576               354    38.54%          23                 4    82.61%         369               148    59.89%         190               125    34.21%
lib/Backend/EmitBuffer.h                                                      3                 0   100.00%           3                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/Encoder.cpp                                                    2027              1548    23.63%          38                26    31.58%        1459               918    37.08%         656               485    26.07%
lib/Backend/Encoder.h                                                         1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/EquivalentTypeSet.cpp                                           148               147     0.68%           8                 7    12.50%         121               119     1.65%          70                70     0.00%
lib/Backend/EquivalentTypeSet.h                                               4                 4     0.00%           4                 4     0.00%          12                12     0.00%           0                 0         -
lib/Backend/ExternalLowerer.h                                                 1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
lib/Backend/FixedFieldInfo.cpp                                               27                12    55.56%          11                 6    45.45%          59                25    57.63%          10                 5    50.00%
lib/Backend/FixedFieldInfo.h                                                  1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/FlowGraph.cpp                                                  6223              4659    25.13%         103                48    53.40%        4218              2850    32.43%        2720              2075    23.71%
lib/Backend/FlowGraph.h                                                     170               102    40.00%          63                31    50.79%         160                54    66.25%          42                31    26.19%
lib/Backend/Func.cpp                                                       2397              1763    26.45%         112                64    42.86%        1263               706    44.10%         784               604    22.96%
lib/Backend/Func.h                                                          755               541    28.34%         136                60    55.88%         442               243    45.02%         246               198    19.51%
lib/Backend/FunctionCodeGenJitTimeData.cpp                                  672               549    18.30%          20                 8    60.00%         159                83    47.80%         170               145    14.71%
lib/Backend/FunctionCodeGenJitTimeData.h                                     83                47    43.37%          17                 3    82.35%          47                13    72.34%          20                16    20.00%
lib/Backend/FunctionJITRuntimeInfo.cpp                                       23                23     0.00%           3                 3     0.00%          10                10     0.00%           4                 4     0.00%
lib/Backend/FunctionJITTimeInfo.cpp                                         614               436    28.99%          38                19    50.00%         336               175    47.92%         192               141    26.56%
lib/Backend/GlobHashTable.h                                                 162                82    49.38%          19                 2    89.47%         180                64    64.44%          68                45    33.82%
lib/Backend/GlobOpt.cpp                                                   22041             17673    19.82%         294               111    62.24%       13911              9734    30.03%       11310              9000    20.42%
lib/Backend/GlobOpt.h                                                       215               136    36.74%          50                19    62.00%         130                58    55.38%          52                41    21.15%
lib/Backend/GlobOptArrays.cpp                                              2828              2062    27.09%          19                 1    94.74%        1599               854    46.59%        1276               992    22.26%
lib/Backend/GlobOptArrays.h                                                  18                12    33.33%           1                 0   100.00%           3                 0   100.00%           4                 3    25.00%
lib/Backend/GlobOptBailOut.cpp                                             2379              1691    28.92%          36                 7    80.56%        1303               580    55.49%         996               693    30.42%
lib/Backend/GlobOptBlockData.cpp                                           1708              1175    31.21%          49                19    61.22%        1309               661    49.50%         716               534    25.42%
lib/Backend/GlobOptBlockData.h                                              110                55    50.00%          20                 4    80.00%          69                15    78.26%          28                17    39.29%
