Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
FuzzBuild/Debug/lib/wabt/config.h                                            17                17     0.00%          11                11     0.00%          15                15     0.00%           4                 4     0.00%
bin/ChakraCore/TestHooks.cpp                                               1865                34    98.18%          16                10    37.50%         111                46    58.56%           8                 5    37.50%
bin/ch/ChakraRtInterface.cpp                                                 69                37    46.38%           7                 3    57.14%          66                24    63.64%          20                12    40.00%
bin/ch/ChakraRtInterface.h                                                  338               250    26.04%         139               107    23.02%         176               137    22.16%          48                36    25.00%
bin/ch/Debugger.cpp                                                        1035              1035     0.00%          31                31     0.00%         361               361     0.00%         206               206     0.00%
bin/ch/Debugger.h                                                             1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
bin/ch/Helpers.cpp                                                          618               527    14.72%          18                15    16.67%         450               339    24.67%         266               232    12.78%
bin/ch/HostConfigFlags.cpp                                                  267               213    20.22%          11                 7    36.36%         112                80    28.57%          62                49    20.97%
bin/ch/HostConfigFlags.h                                                      7                 7     0.00%           1                 1     0.00%          10                10     0.00%           4                 4     0.00%
bin/ch/MessageQueue.h                                                       104                92    11.54%          27                20    25.93%         161               137    14.91%          34                31     8.82%
bin/ch/RuntimeThreadData.cpp                                                124               123     0.81%           6                 5    16.67%          79                76     3.80%          24                24     0.00%
bin/ch/WScriptJsrt.cpp                                                     2358              1893    19.72%          71                59    16.90%        1732              1464    15.47%         796               692    13.07%
bin/ch/WScriptJsrt.h                                                         45                41     8.89%           4                 3    25.00%          33                26    21.21%          20                10    50.00%
bin/ch/ch.cpp                                                              1055               851    19.34%          21                16    23.81%         712               502    29.49%         312               243    22.12%
bin/ch/stdafx.h                                                              62                25    59.68%          17                 9    47.06%         114                42    63.16%          30                13    56.67%
lib/Backend/AgenPeeps.cpp                                                   276               171    38.04%           7                 2    71.43%         165                95    42.42%         210               147    30.00%
lib/Backend/AgenPeeps.h                                                       1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/AsmJsJITInfo.cpp                                                 75                75     0.00%          13                13     0.00%          51                51     0.00%          16                16     0.00%
lib/Backend/AsmJsJITInfo.h                                                    4                 4     0.00%           4                 4     0.00%           4                 4     0.00%           0                 0         -
lib/Backend/BackendApi.cpp                                                  137                93    32.12%          25                13    48.00%         121                68    43.80%          42                30    28.57%
lib/Backend/BackendOpCodeAttrAsmJs.cpp                                       48                36    25.00%           5                 2    60.00%          23                10    56.52%          10                 8    20.00%
lib/Backend/BackwardPass.cpp                                              11762              6350    46.01%         167                29    82.63%        7436              2079    72.04%        5492              2659    51.58%
lib/Backend/BackwardPass.h                                                   11                 4    63.64%           7                 2    71.43%          24                10    58.33%           4                 2    50.00%
lib/Backend/BailOut.cpp                                                    3084              2183    29.22%          60                21    65.00%        2097              1193    43.11%        1446              1038    28.22%
lib/Backend/BailOut.h                                                        83                33    60.24%          25                12    52.00%          93                33    64.52%          24                 3    87.50%
lib/Backend/CaseNode.cpp                                                     36                36     0.00%           3                 3     0.00%          34                34     0.00%          14                14     0.00%
lib/Backend/CaseNode.h                                                      109               109     0.00%          18                18     0.00%          58                58     0.00%          26                26     0.00%
lib/Backend/CodeGenAllocators.cpp                                             3                 0   100.00%           3                 0   100.00%           7                 0   100.00%           0                 0         -
lib/Backend/CodeGenWorkItem.cpp                                             139               112    19.42%           9                 3    66.67%         141               111    21.28%          52                46    11.54%
lib/Backend/CodeGenWorkItem.h                                               191               127    33.51%          43                20    53.49%         141                67    52.48%          42                29    30.95%
lib/Backend/DbCheckPostLower.cpp                                            797               460    42.28%          10                 6    40.00%         325                96    70.46%         368               182    50.54%
lib/Backend/DbCheckPostLower.h                                                1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/EhFrame.cpp                                                      96                47    51.04%          11                 0   100.00%         121                19    84.30%          36                21    41.67%
lib/Backend/EhFrame.h                                                       116                62    46.55%          28                 2    92.86%          58                 4    93.10%          20                15    25.00%
lib/Backend/EmitBuffer.cpp                                                  576               352    38.89%          23                 4    82.61%         369               148    59.89%         190               123    35.26%
lib/Backend/EmitBuffer.h                                                      3                 0   100.00%           3                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/Encoder.cpp                                                    2027              1430    29.45%          38                20    47.37%        1459               765    47.57%         656               437    33.38%
lib/Backend/Encoder.h                                                         1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/EquivalentTypeSet.cpp                                           148                85    42.57%           8                 2    75.00%         121                40    66.94%          70                39    44.29%
lib/Backend/EquivalentTypeSet.h                                               4                 2    50.00%           4                 2    50.00%          12                 6    50.00%           0                 0         -
lib/Backend/ExternalLowerer.h                                                 1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
lib/Backend/FixedFieldInfo.cpp                                               27                 7    74.07%          11                 4    63.64%          59                16    72.88%          10                 1    90.00%
lib/Backend/FixedFieldInfo.h                                                  1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/FlowGraph.cpp                                                  6223              3363    45.96%         103                21    79.61%        4218              1461    65.36%        2720              1399    48.57%
lib/Backend/FlowGraph.h                                                     170                71    58.24%          63                13    79.37%         160                26    83.75%          42                26    38.10%
lib/Backend/Func.cpp                                                       2397              1501    37.38%         112                39    65.18%        1263               485    61.60%         784               512    34.69%
lib/Backend/Func.h                                                          755               427    43.44%         136                37    72.79%         442               146    66.97%         246               132    46.34%
lib/Backend/FunctionCodeGenJitTimeData.cpp                                  672               450    33.04%          20                 5    75.00%         159                47    70.44%         170               123    27.65%
lib/Backend/FunctionCodeGenJitTimeData.h                                     83                47    43.37%          17                 3    82.35%          47                13    72.34%          20                16    20.00%
lib/Backend/FunctionJITRuntimeInfo.cpp                                       23                22     4.35%           3                 2    33.33%          10                 7    30.00%           4                 4     0.00%
lib/Backend/FunctionJITTimeInfo.cpp                                         614               344    43.97%          38                14    63.16%         336               107    68.15%         192               109    43.23%
lib/Backend/GlobHashTable.h                                                 162                43    73.46%          19                 2    89.47%         180                24    86.67%          68                18    73.53%
lib/Backend/GlobOpt.cpp                                                   22041             13437    39.04%         294                57    80.61%       13911              5470    60.68%       11310              6405    43.37%
lib/Backend/GlobOpt.h                                                       215               107    50.23%          50                 9    82.00%         130                23    82.31%          52                31    40.38%
lib/Backend/GlobOptArrays.cpp                                              2828              1716    39.32%          19                 0   100.00%        1599               449    71.92%        1276               725    43.18%
lib/Backend/GlobOptArrays.h                                                  18                12    33.33%           1                 0   100.00%           3                 0   100.00%           4                 3    25.00%
lib/Backend/GlobOptBailOut.cpp                                             2379              1329    44.14%          36                 4    88.89%        1303               253    80.58%         996               484    51.41%
lib/Backend/GlobOptBlockData.cpp                                           1708               881    48.42%          49                 7    85.71%        1309               367    71.96%         716               375    47.63%
lib/Backend/GlobOptBlockData.h                                              110                51    53.64%          20                 2    90.00%          69                 4    94.20%          28                15    46.43%
