Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
FuzzBuild/Debug/lib/wabt/config.h                                            17                17     0.00%          11                11     0.00%          15                15     0.00%           4                 4     0.00%
bin/ChakraCore/TestHooks.cpp                                               1865                34    98.18%          16                10    37.50%         111                46    58.56%           8                 5    37.50%
bin/ch/ChakraRtInterface.cpp                                                 69                37    46.38%           7                 3    57.14%          66                24    63.64%          20                12    40.00%
bin/ch/ChakraRtInterface.h                                                  338               248    26.63%         139               106    23.74%         176               136    22.73%          48                36    25.00%
bin/ch/Debugger.cpp                                                        1035              1035     0.00%          31                31     0.00%         361               361     0.00%         206               206     0.00%
bin/ch/Debugger.h                                                             1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
bin/ch/Helpers.cpp                                                          618               527    14.72%          18                15    16.67%         450               339    24.67%         266               233    12.41%
bin/ch/HostConfigFlags.cpp                                                  267               213    20.22%          11                 7    36.36%         112                80    28.57%          62                49    20.97%
bin/ch/HostConfigFlags.h                                                      7                 7     0.00%           1                 1     0.00%          10                10     0.00%           4                 4     0.00%
bin/ch/MessageQueue.h                                                       104                92    11.54%          27                20    25.93%         161               137    14.91%          34                31     8.82%
bin/ch/RuntimeThreadData.cpp                                                124               123     0.81%           6                 5    16.67%          79                76     3.80%          24                24     0.00%
bin/ch/WScriptJsrt.cpp                                                     2358              1859    21.16%          71                59    16.90%        1732              1447    16.45%         796               684    14.07%
bin/ch/WScriptJsrt.h                                                         45                38    15.56%           4                 3    25.00%          33                24    27.27%          20                 8    60.00%
bin/ch/ch.cpp                                                              1055               851    19.34%          21                16    23.81%         712               502    29.49%         312               243    22.12%
bin/ch/stdafx.h                                                              62                25    59.68%          17                 9    47.06%         114                42    63.16%          30                13    56.67%
lib/Backend/AgenPeeps.cpp                                                   276               265     3.99%           7                 6    14.29%         165               155     6.06%         210               207     1.43%
lib/Backend/AgenPeeps.h                                                       1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/AsmJsJITInfo.cpp                                                 75                75     0.00%          13                13     0.00%          51                51     0.00%          16                16     0.00%
lib/Backend/AsmJsJITInfo.h                                                    4                 4     0.00%           4                 4     0.00%           4                 4     0.00%           0                 0         -
lib/Backend/BackendApi.cpp                                                  137                93    32.12%          25                13    48.00%         121                68    43.80%          42                30    28.57%
lib/Backend/BackendOpCodeAttrAsmJs.cpp                                       48                48     0.00%           5                 5     0.00%          23                23     0.00%          10                10     0.00%
lib/Backend/BackwardPass.cpp                                              11762              8096    31.17%         167                55    67.07%        7436              3659    50.79%        5492              3682    32.96%
lib/Backend/BackwardPass.h                                                   11                 9    18.18%           7                 5    28.57%          24                22     8.33%           4                 4     0.00%
lib/Backend/BailOut.cpp                                                    3084              2887     6.39%          60                50    16.67%        2097              1968     6.15%        1446              1397     3.39%
lib/Backend/BailOut.h                                                        83                44    46.99%          25                14    44.00%          93                48    48.39%          24                10    58.33%
lib/Backend/CaseNode.cpp                                                     36                36     0.00%           3                 3     0.00%          34                34     0.00%          14                14     0.00%
lib/Backend/CaseNode.h                                                      109               109     0.00%          18                18     0.00%          58                58     0.00%          26                26     0.00%
lib/Backend/CodeGenAllocators.cpp                                             3                 0   100.00%           3                 0   100.00%           7                 0   100.00%           0                 0         -
lib/Backend/CodeGenWorkItem.cpp                                             139               112    19.42%           9                 3    66.67%         141               111    21.28%          52                46    11.54%
lib/Backend/CodeGenWorkItem.h                                               191               127    33.51%          43                20    53.49%         141                67    52.48%          42                29    30.95%
lib/Backend/DbCheckPostLower.cpp                                            797               502    37.01%          10                 6    40.00%         325               122    62.46%         368               214    41.85%
lib/Backend/DbCheckPostLower.h                                                1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/EhFrame.cpp                                                      96                47    51.04%          11                 0   100.00%         121                19    84.30%          36                21    41.67%
lib/Backend/EhFrame.h                                                       116                62    46.55%          28                 2    92.86%          58                 4    93.10%          20                15    25.00%
lib/Backend/EmitBuffer.cpp                                                  576               354    38.54%          23                 4    82.61%         369               148    59.89%         190               125    34.21%
lib/Backend/EmitBuffer.h                                                      3                 0   100.00%           3                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/Encoder.cpp                                                    2027              1485    26.74%          38                21    44.74%        1459               846    42.02%         656               472    28.05%
lib/Backend/Encoder.h                                                         1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/EquivalentTypeSet.cpp                                           148               135     8.78%           8                 5    37.50%         121               112     7.44%          70                67     4.29%
lib/Backend/EquivalentTypeSet.h                                               4                 3    25.00%           4                 3    25.00%          12                 9    25.00%           0                 0         -
lib/Backend/ExternalLowerer.h                                                 1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
lib/Backend/FixedFieldInfo.cpp                                               27                10    62.96%          11                 5    54.55%          59                22    62.71%          10                 4    60.00%
lib/Backend/FixedFieldInfo.h                                                  1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/FlowGraph.cpp                                                  6223              4657    25.16%         103                48    53.40%        4218              2806    33.48%        2720              2066    24.04%
lib/Backend/FlowGraph.h                                                     170                97    42.94%          63                28    55.56%         160                49    69.38%          42                30    28.57%
lib/Backend/Func.cpp                                                       2397              1733    27.70%         112                63    43.75%        1263               687    45.61%         784               597    23.85%
lib/Backend/Func.h                                                          755               573    24.11%         136                69    49.26%         442               266    39.82%         246               202    17.89%
lib/Backend/FunctionCodeGenJitTimeData.cpp                                  672               562    16.37%          20                 9    55.00%         159                88    44.65%         170               145    14.71%
lib/Backend/FunctionCodeGenJitTimeData.h                                     83                47    43.37%          17                 3    82.35%          47                13    72.34%          20                16    20.00%
lib/Backend/FunctionJITRuntimeInfo.cpp                                       23                23     0.00%           3                 3     0.00%          10                10     0.00%           4                 4     0.00%
lib/Backend/FunctionJITTimeInfo.cpp                                         614               443    27.85%          38                22    42.11%         336               188    44.05%         192               144    25.00%
lib/Backend/GlobHashTable.h                                                 162                72    55.56%          19                 2    89.47%         180                51    71.67%          68                39    42.65%
lib/Backend/GlobOpt.cpp                                                   22041             17684    19.77%         294               118    59.86%       13911              9766    29.80%       11310              9032    20.14%
lib/Backend/GlobOpt.h                                                       215               126    41.40%          50                15    70.00%         130                36    72.31%          52                39    25.00%
lib/Backend/GlobOptArrays.cpp                                              2828              2337    17.36%          19                 4    78.95%        1599              1123    29.77%        1276              1071    16.07%
lib/Backend/GlobOptArrays.h                                                  18                12    33.33%           1                 0   100.00%           3                 0   100.00%           4                 3    25.00%
lib/Backend/GlobOptBailOut.cpp                                             2379              1641    31.02%          36                11    69.44%        1303               648    50.27%         996               665    33.23%
lib/Backend/GlobOptBlockData.cpp                                           1708              1195    30.04%          49                18    63.27%        1309               690    47.29%         716               553    22.77%
lib/Backend/GlobOptBlockData.h                                              110                55    50.00%          20                 4    80.00%          69                15    78.26%          28                17    39.29%
