Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
FuzzBuild/Debug/lib/wabt/config.h                                            17                17     0.00%          11                11     0.00%          15                15     0.00%           4                 4     0.00%
bin/ChakraCore/TestHooks.cpp                                               1865                34    98.18%          16                10    37.50%         111                46    58.56%           8                 5    37.50%
bin/ch/ChakraRtInterface.cpp                                                 69                37    46.38%           7                 3    57.14%          66                24    63.64%          20                12    40.00%
bin/ch/ChakraRtInterface.h                                                  338               242    28.40%         139               103    25.90%         176               133    24.43%          48                36    25.00%
bin/ch/Debugger.cpp                                                        1035              1035     0.00%          31                31     0.00%         361               361     0.00%         206               206     0.00%
bin/ch/Debugger.h                                                             1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
bin/ch/Helpers.cpp                                                          618               527    14.72%          18                15    16.67%         450               339    24.67%         266               233    12.41%
bin/ch/HostConfigFlags.cpp                                                  267               213    20.22%          11                 7    36.36%         112                80    28.57%          62                49    20.97%
bin/ch/HostConfigFlags.h                                                      7                 7     0.00%           1                 1     0.00%          10                10     0.00%           4                 4     0.00%
bin/ch/MessageQueue.h                                                       104                46    55.77%          27                 6    77.78%         161                59    63.35%          34                15    55.88%
bin/ch/RuntimeThreadData.cpp                                                124               123     0.81%           6                 5    16.67%          79                76     3.80%          24                24     0.00%
bin/ch/WScriptJsrt.cpp                                                     2358              1817    22.94%          71                54    23.94%        1732              1404    18.94%         796               675    15.20%
bin/ch/WScriptJsrt.h                                                         45                38    15.56%           4                 3    25.00%          33                24    27.27%          20                 8    60.00%
bin/ch/ch.cpp                                                              1055               851    19.34%          21                16    23.81%         712               502    29.49%         312               243    22.12%
bin/ch/stdafx.h                                                              62                25    59.68%          17                 9    47.06%         114                42    63.16%          30                13    56.67%
lib/Backend/AgenPeeps.cpp                                                   276               171    38.04%           7                 2    71.43%         165                95    42.42%         210               147    30.00%
lib/Backend/AgenPeeps.h                                                       1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/AsmJsJITInfo.cpp                                                 75                75     0.00%          13                13     0.00%          51                51     0.00%          16                16     0.00%
lib/Backend/AsmJsJITInfo.h                                                    4                 4     0.00%           4                 4     0.00%           4                 4     0.00%           0                 0         -
lib/Backend/BackendApi.cpp                                                  137                93    32.12%          25                13    48.00%         121                68    43.80%          42                30    28.57%
lib/Backend/BackendOpCodeAttrAsmJs.cpp                                       48                48     0.00%           5                 5     0.00%          23                23     0.00%          10                10     0.00%
lib/Backend/BackwardPass.cpp                                              11762              5843    50.32%         167                18    89.22%        7436              1481    80.08%        5492              2322    57.72%
lib/Backend/BackwardPass.h                                                   11                 5    54.55%           7                 3    57.14%          24                13    45.83%           4                 2    50.00%
lib/Backend/BailOut.cpp                                                    3084              2042    33.79%          60                19    68.33%        2097               916    56.32%        1446               928    35.82%
lib/Backend/BailOut.h                                                        83                33    60.24%          25                12    52.00%          93                33    64.52%          24                 3    87.50%
lib/Backend/CaseNode.cpp                                                     36                36     0.00%           3                 3     0.00%          34                34     0.00%          14                14     0.00%
lib/Backend/CaseNode.h                                                      109               109     0.00%          18                18     0.00%          58                58     0.00%          26                26     0.00%
lib/Backend/CodeGenAllocators.cpp                                             3                 0   100.00%           3                 0   100.00%           7                 0   100.00%           0                 0         -
lib/Backend/CodeGenWorkItem.cpp                                             139               112    19.42%           9                 3    66.67%         141               111    21.28%          52                46    11.54%
lib/Backend/CodeGenWorkItem.h                                               191               124    35.08%          43                19    55.81%         141                64    54.61%          42                29    30.95%
lib/Backend/DbCheckPostLower.cpp                                            797               458    42.53%          10                 6    40.00%         325                95    70.77%         368               176    52.17%
lib/Backend/DbCheckPostLower.h                                                1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/EhFrame.cpp                                                      96                47    51.04%          11                 0   100.00%         121                19    84.30%          36                21    41.67%
lib/Backend/EhFrame.h                                                       116                62    46.55%          28                 2    92.86%          58                 4    93.10%          20                15    25.00%
lib/Backend/EmitBuffer.cpp                                                  576               337    41.49%          23                 3    86.96%         369               119    67.75%         190               116    38.95%
lib/Backend/EmitBuffer.h                                                      3                 0   100.00%           3                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/Encoder.cpp                                                    2027              1429    29.50%          38                20    47.37%        1459               761    47.84%         656               436    33.54%
lib/Backend/Encoder.h                                                         1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/EquivalentTypeSet.cpp                                           148                80    45.95%           8                 2    75.00%         121                33    72.73%          70                31    55.71%
lib/Backend/EquivalentTypeSet.h                                               4                 2    50.00%           4                 2    50.00%          12                 6    50.00%           0                 0         -
lib/Backend/ExternalLowerer.h                                                 1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/FixedFieldInfo.cpp                                               27                 7    74.07%          11                 4    63.64%          59                16    72.88%          10                 1    90.00%
lib/Backend/FixedFieldInfo.h                                                  1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/FlowGraph.cpp                                                  6223              3133    49.65%         103                18    82.52%        4218              1205    71.43%        2720              1245    54.23%
lib/Backend/FlowGraph.h                                                     170                67    60.59%          63                11    82.54%         160                17    89.38%          42                24    42.86%
lib/Backend/Func.cpp                                                       2397              1428    40.43%         112                29    74.11%        1263               410    67.54%         784               465    40.69%
lib/Backend/Func.h                                                          755               382    49.40%         136                23    83.09%         442                95    78.51%         246               119    51.63%
lib/Backend/FunctionCodeGenJitTimeData.cpp                                  672               493    26.64%          20                 6    70.00%         159                57    64.15%         170               130    23.53%
lib/Backend/FunctionCodeGenJitTimeData.h                                     83                40    51.81%          17                 2    88.24%          47                 5    89.36%          20                15    25.00%
lib/Backend/FunctionJITRuntimeInfo.cpp                                       23                15    34.78%           3                 1    66.67%          10                 3    70.00%           4                 3    25.00%
lib/Backend/FunctionJITTimeInfo.cpp                                         614               316    48.53%          38                11    71.05%         336                85    74.70%         192               100    47.92%
lib/Backend/GlobHashTable.h                                                 162                39    75.93%          19                 1    94.74%         180                15    91.67%          68                17    75.00%
lib/Backend/GlobOpt.cpp                                                   22041             12460    43.47%         294                43    85.37%       13911              4391    68.44%       11310              5793    48.78%
lib/Backend/GlobOpt.h                                                       215               108    49.77%          50                 8    84.00%         130                17    86.92%          52                36    30.77%
lib/Backend/GlobOptArrays.cpp                                              2828              1528    45.97%          19                 0   100.00%        1599               247    84.55%        1276               615    51.80%
lib/Backend/GlobOptArrays.h                                                  18                12    33.33%           1                 0   100.00%           3                 0   100.00%           4                 3    25.00%
lib/Backend/GlobOptBailOut.cpp                                             2379              1228    48.38%          36                 3    91.67%        1303               164    87.41%         996               433    56.53%
lib/Backend/GlobOptBlockData.cpp                                           1708               846    50.47%          49                 6    87.76%        1309               305    76.70%         716               326    54.47%
lib/Backend/GlobOptBlockData.h                                              110                52    52.73%          20                 2    90.00%          69                10    85.51%          28                16    42.86%
