Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
FuzzBuild/Debug/lib/wabt/config.h                                            17                17     0.00%          11                11     0.00%          15                15     0.00%           4                 4     0.00%
bin/ChakraCore/TestHooks.cpp                                               1865                34    98.18%          16                10    37.50%         111                46    58.56%           8                 5    37.50%
bin/ch/ChakraRtInterface.cpp                                                 69                37    46.38%           7                 3    57.14%          66                24    63.64%          20                12    40.00%
bin/ch/ChakraRtInterface.h                                                  338               242    28.40%         139               103    25.90%         176               133    24.43%          48                36    25.00%
bin/ch/Debugger.cpp                                                        1035              1035     0.00%          31                31     0.00%         361               361     0.00%         206               206     0.00%
bin/ch/Debugger.h                                                             1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
bin/ch/Helpers.cpp                                                          618               527    14.72%          18                15    16.67%         450               339    24.67%         266               233    12.41%
bin/ch/HostConfigFlags.cpp                                                  267               213    20.22%          11                 7    36.36%         112                80    28.57%          62                49    20.97%
bin/ch/HostConfigFlags.h                                                      7                 7     0.00%           1                 1     0.00%          10                10     0.00%           4                 4     0.00%
bin/ch/MessageQueue.h                                                       104                46    55.77%          27                 6    77.78%         161                59    63.35%          34                15    55.88%
bin/ch/RuntimeThreadData.cpp                                                124               123     0.81%           6                 5    16.67%          79                76     3.80%          24                24     0.00%
bin/ch/WScriptJsrt.cpp                                                     2358              1819    22.86%          71                54    23.94%        1732              1404    18.94%         796               671    15.70%
bin/ch/WScriptJsrt.h                                                         45                38    15.56%           4                 3    25.00%          33                24    27.27%          20                 8    60.00%
bin/ch/ch.cpp                                                              1055               851    19.34%          21                16    23.81%         712               502    29.49%         312               243    22.12%
bin/ch/stdafx.h                                                              62                25    59.68%          17                 9    47.06%         114                42    63.16%          30                13    56.67%
lib/Backend/AgenPeeps.cpp                                                   276               165    40.22%           7                 2    71.43%         165                89    46.06%         210               143    31.90%
lib/Backend/AgenPeeps.h                                                       1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/AsmJsJITInfo.cpp                                                 75                75     0.00%          13                13     0.00%          51                51     0.00%          16                16     0.00%
lib/Backend/AsmJsJITInfo.h                                                    4                 4     0.00%           4                 4     0.00%           4                 4     0.00%           0                 0         -
lib/Backend/BackendApi.cpp                                                  137                93    32.12%          25                13    48.00%         121                68    43.80%          42                30    28.57%
lib/Backend/BackendOpCodeAttrAsmJs.cpp                                       48                34    29.17%           5                 1    80.00%          23                 7    69.57%          10                 8    20.00%
lib/Backend/BackwardPass.cpp                                              11762              5584    52.53%         167                14    91.62%        7436              1241    83.31%        5492              2137    61.09%
lib/Backend/BackwardPass.h                                                   11                 0   100.00%           7                 0   100.00%          24                 0   100.00%           4                 1    75.00%
lib/Backend/BailOut.cpp                                                    3084              1983    35.70%          60                18    70.00%        2097               844    59.75%        1446               916    36.65%
lib/Backend/BailOut.h                                                        83                33    60.24%          25                12    52.00%          93                33    64.52%          24                 3    87.50%
lib/Backend/CaseNode.cpp                                                     36                30    16.67%           3                 2    33.33%          34                25    26.47%          14                11    21.43%
lib/Backend/CaseNode.h                                                      109                62    43.12%          18                 1    94.44%          58                 3    94.83%          26                17    34.62%
lib/Backend/CodeGenAllocators.cpp                                             3                 0   100.00%           3                 0   100.00%           7                 0   100.00%           0                 0         -
lib/Backend/CodeGenWorkItem.cpp                                             139               112    19.42%           9                 3    66.67%         141               111    21.28%          52                46    11.54%
lib/Backend/CodeGenWorkItem.h                                               191               127    33.51%          43                20    53.49%         141                67    52.48%          42                28    33.33%
lib/Backend/DbCheckPostLower.cpp                                            797               455    42.91%          10                 6    40.00%         325                93    71.38%         368               170    53.80%
lib/Backend/DbCheckPostLower.h                                                1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/EhFrame.cpp                                                      96                47    51.04%          11                 0   100.00%         121                19    84.30%          36                21    41.67%
lib/Backend/EhFrame.h                                                       116                62    46.55%          28                 2    92.86%          58                 4    93.10%          20                15    25.00%
lib/Backend/EmitBuffer.cpp                                                  576               352    38.89%          23                 4    82.61%         369               148    59.89%         190               123    35.26%
lib/Backend/EmitBuffer.h                                                      3                 0   100.00%           3                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/Encoder.cpp                                                    2027              1377    32.07%          38                18    52.63%        1459               703    51.82%         656               419    36.13%
lib/Backend/Encoder.h                                                         1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/EquivalentTypeSet.cpp                                           148                83    43.92%           8                 2    75.00%         121                39    67.77%          70                36    48.57%
lib/Backend/EquivalentTypeSet.h                                               4                 1    75.00%           4                 1    75.00%          12                 3    75.00%           0                 0         -
lib/Backend/ExternalLowerer.h                                                 1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/FixedFieldInfo.cpp                                               27                 5    81.48%          11                 2    81.82%          59                10    83.05%          10                 1    90.00%
lib/Backend/FixedFieldInfo.h                                                  1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/FlowGraph.cpp                                                  6223              2926    52.98%         103                15    85.44%        4218               910    78.43%        2720              1086    60.07%
lib/Backend/FlowGraph.h                                                     170                59    65.29%          63                 7    88.89%         160                 8    95.00%          42                20    52.38%
lib/Backend/Func.cpp                                                       2397              1399    41.64%         112                27    75.89%        1263               368    70.86%         784               435    44.52%
lib/Backend/Func.h                                                          755               394    47.81%         136                27    80.15%         442               109    75.34%         246               117    52.44%
lib/Backend/FunctionCodeGenJitTimeData.cpp                                  672               449    33.18%          20                 5    75.00%         159                41    74.21%         170               119    30.00%
lib/Backend/FunctionCodeGenJitTimeData.h                                     83                40    51.81%          17                 2    88.24%          47                 5    89.36%          20                15    25.00%
lib/Backend/FunctionJITRuntimeInfo.cpp                                       23                15    34.78%           3                 1    66.67%          10                 3    70.00%           4                 3    25.00%
lib/Backend/FunctionJITTimeInfo.cpp                                         614               288    53.09%          38                 8    78.95%         336                62    81.55%         192                90    53.12%
lib/Backend/GlobHashTable.h                                                 162                39    75.93%          19                 1    94.74%         180                15    91.67%          68                16    76.47%
lib/Backend/GlobOpt.cpp                                                   22041             11216    49.11%         294                37    87.41%       13911              3269    76.50%       11310              4858    57.05%
lib/Backend/GlobOpt.h                                                       215               106    50.70%          50                 8    84.00%         130                17    86.92%          52                30    42.31%
lib/Backend/GlobOptArrays.cpp                                              2828              1466    48.16%          19                 0   100.00%        1599               142    91.12%        1276               540    57.68%
lib/Backend/GlobOptArrays.h                                                  18                12    33.33%           1                 0   100.00%           3                 0   100.00%           4                 3    25.00%
lib/Backend/GlobOptBailOut.cpp                                             2379              1188    50.06%          36                 3    91.67%        1303               140    89.26%         996               402    59.64%
lib/Backend/GlobOptBlockData.cpp                                           1708               732    57.14%          49                 5    89.80%        1309               224    82.89%         716               281    60.75%
lib/Backend/GlobOptBlockData.h                                              110                51    53.64%          20                 2    90.00%          69                 4    94.20%          28                14    50.00%
