Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
FuzzBuild/Debug/lib/wabt/config.h                                            17                17     0.00%          11                11     0.00%          15                15     0.00%           4                 4     0.00%
bin/ChakraCore/TestHooks.cpp                                               1865                34    98.18%          16                10    37.50%         111                46    58.56%           8                 5    37.50%
bin/ch/ChakraRtInterface.cpp                                                 69                37    46.38%           7                 3    57.14%          66                24    63.64%          20                12    40.00%
bin/ch/ChakraRtInterface.h                                                  338               242    28.40%         139               103    25.90%         176               133    24.43%          48                36    25.00%
bin/ch/Debugger.cpp                                                        1035              1035     0.00%          31                31     0.00%         361               361     0.00%         206               206     0.00%
bin/ch/Debugger.h                                                             1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
bin/ch/Helpers.cpp                                                          618               502    18.77%          18                14    22.22%         450               314    30.22%         266               218    18.05%
bin/ch/HostConfigFlags.cpp                                                  267               213    20.22%          11                 7    36.36%         112                80    28.57%          62                49    20.97%
bin/ch/HostConfigFlags.h                                                      7                 7     0.00%           1                 1     0.00%          10                10     0.00%           4                 4     0.00%
bin/ch/MessageQueue.h                                                       104                45    56.73%          27                 5    81.48%         161                58    63.98%          34                15    55.88%
bin/ch/RuntimeThreadData.cpp                                                124               123     0.81%           6                 5    16.67%          79                76     3.80%          24                24     0.00%
bin/ch/WScriptJsrt.cpp                                                     2358              1758    25.45%          71                48    32.39%        1732              1323    23.61%         796               659    17.21%
bin/ch/WScriptJsrt.h                                                         45                36    20.00%           4                 1    75.00%          33                20    39.39%          20                 8    60.00%
bin/ch/ch.cpp                                                              1055               851    19.34%          21                16    23.81%         712               502    29.49%         312               243    22.12%
bin/ch/stdafx.h                                                              62                23    62.90%          17                 7    58.82%         114                38    66.67%          30                13    56.67%
lib/Backend/AgenPeeps.cpp                                                   276               165    40.22%           7                 2    71.43%         165                89    46.06%         210               143    31.90%
lib/Backend/AgenPeeps.h                                                       1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/AsmJsJITInfo.cpp                                                 75                75     0.00%          13                13     0.00%          51                51     0.00%          16                16     0.00%
lib/Backend/AsmJsJITInfo.h                                                    4                 4     0.00%           4                 4     0.00%           4                 4     0.00%           0                 0         -
lib/Backend/BackendApi.cpp                                                  137                93    32.12%          25                13    48.00%         121                68    43.80%          42                30    28.57%
lib/Backend/BackendOpCodeAttrAsmJs.cpp                                       48                48     0.00%           5                 5     0.00%          23                23     0.00%          10                10     0.00%
lib/Backend/BackwardPass.cpp                                              11762              5737    51.22%         167                14    91.62%        7436              1373    81.54%        5492              2232    59.36%
lib/Backend/BackwardPass.h                                                   11                 4    63.64%           7                 2    71.43%          24                10    58.33%           4                 2    50.00%
lib/Backend/BailOut.cpp                                                    3084              2053    33.43%          60                19    68.33%        2097               924    55.94%        1446               933    35.48%
lib/Backend/BailOut.h                                                        83                33    60.24%          25                12    52.00%          93                33    64.52%          24                 3    87.50%
lib/Backend/CaseNode.cpp                                                     36                30    16.67%           3                 2    33.33%          34                25    26.47%          14                11    21.43%
lib/Backend/CaseNode.h                                                      109                63    42.20%          18                 2    88.89%          58                 6    89.66%          26                17    34.62%
lib/Backend/CodeGenAllocators.cpp                                             3                 0   100.00%           3                 0   100.00%           7                 0   100.00%           0                 0         -
lib/Backend/CodeGenWorkItem.cpp                                             139               112    19.42%           9                 3    66.67%         141               111    21.28%          52                46    11.54%
lib/Backend/CodeGenWorkItem.h                                               191               124    35.08%          43                19    55.81%         141                64    54.61%          42                29    30.95%
lib/Backend/DbCheckPostLower.cpp                                            797               459    42.41%          10                 6    40.00%         325                96    70.46%         368               176    52.17%
lib/Backend/DbCheckPostLower.h                                                1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/EhFrame.cpp                                                      96                47    51.04%          11                 0   100.00%         121                19    84.30%          36                21    41.67%
lib/Backend/EhFrame.h                                                       116                62    46.55%          28                 2    92.86%          58                 4    93.10%          20                15    25.00%
lib/Backend/EmitBuffer.cpp                                                  576               352    38.89%          23                 4    82.61%         369               148    59.89%         190               123    35.26%
lib/Backend/EmitBuffer.h                                                      3                 0   100.00%           3                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/Encoder.cpp                                                    2027              1342    33.79%          38                15    60.53%        1459               652    55.31%         656               412    37.20%
lib/Backend/Encoder.h                                                         1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/EquivalentTypeSet.cpp                                           148                60    59.46%           8                 1    87.50%         121                16    86.78%          70                22    68.57%
lib/Backend/EquivalentTypeSet.h                                               4                 1    75.00%           4                 1    75.00%          12                 3    75.00%           0                 0         -
lib/Backend/ExternalLowerer.h                                                 1                 0   100.00%           1                 0   100.00%           3                 0   100.00%           0                 0         -
lib/Backend/FixedFieldInfo.cpp                                               27                 1    96.30%          11                 0   100.00%          59                 4    93.22%          10                 1    90.00%
lib/Backend/FixedFieldInfo.h                                                  1                 0   100.00%           1                 0   100.00%           1                 0   100.00%           0                 0         -
lib/Backend/FlowGraph.cpp                                                  6223              3077    50.55%         103                16    84.47%        4218              1061    74.85%        2720              1201    55.85%
lib/Backend/FlowGraph.h                                                     170                58    65.88%          63                 6    90.48%         160                 7    95.62%          42                19    54.76%
lib/Backend/Func.cpp                                                       2397              1378    42.51%         112                24    78.57%        1263               358    71.65%         784               436    44.39%
lib/Backend/Func.h                                                          755               386    48.87%         136                24    82.35%         442               101    77.15%         246               119    51.63%
lib/Backend/FunctionCodeGenJitTimeData.cpp                                  672               409    39.14%          20                 4    80.00%         159                25    84.28%         170               112    34.12%
lib/Backend/FunctionCodeGenJitTimeData.h                                     83                40    51.81%          17                 2    88.24%          47                 5    89.36%          20                14    30.00%
lib/Backend/FunctionJITRuntimeInfo.cpp                                       23                15    34.78%           3                 1    66.67%          10                 3    70.00%           4                 3    25.00%
lib/Backend/FunctionJITTimeInfo.cpp                                         614               283    53.91%          38                 8    78.95%         336                58    82.74%         192                90    53.12%
lib/Backend/GlobHashTable.h                                                 162                39    75.93%          19                 1    94.74%         180                15    91.67%          68                16    76.47%
lib/Backend/GlobOpt.cpp                                                   22041             11790    46.51%         294                35    88.10%       13911              3629    73.91%       11310              5307    53.08%
lib/Backend/GlobOpt.h                                                       215               105    51.16%          50                 6    88.00%         130                15    88.46%          52                32    38.46%
lib/Backend/GlobOptArrays.cpp                                              2828              1518    46.32%          19                 0   100.00%        1599               211    86.80%        1276               607    52.43%
lib/Backend/GlobOptArrays.h                                                  18                12    33.33%           1                 0   100.00%           3                 0   100.00%           4                 3    25.00%
lib/Backend/GlobOptBailOut.cpp                                             2379              1205    49.35%          36                 3    91.67%        1303               149    88.56%         996               408    59.04%
lib/Backend/GlobOptBlockData.cpp                                           1708               689    59.66%          49                 4    91.84%        1309               175    86.63%         716               260    63.69%
lib/Backend/GlobOptBlockData.h                                              110                51    53.64%          20                 2    90.00%          69                 4    94.20%          28                14    50.00%
