Filename                                                                Regions    Missed_Regions     Regions_Cover   Functions  Missed_Functions  Executed       Lines      Missed_Lines     Lines_Cover    Branches   Missed_Branches     Branches_Cover
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
FuzzBuild/Debug/lib/wabt/config.h                                            17                17     0.00%          11                11     0.00%          15                15     0.00%           4                 4     0.00%
bin/ChakraCore/TestHooks.cpp                                               1865                34    98.18%          16                10    37.50%         111                46    58.56%           8                 5    37.50%
bin/ch/ChakraRtInterface.cpp                                                 69                37    46.38%           7                 3    57.14%          66                24    63.64%          20                12    40.00%
bin/ch/ChakraRtInterface.h                                                  338               254    24.85%         139               109    21.58%         176               139    21.02%          48                36    25.00%
bin/ch/Debugger.cpp                                                        1035              1035     0.00%          31                31     0.00%         361               361     0.00%         206               206     0.00%
bin/ch/Debugger.h                                                             1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
bin/ch/Helpers.cpp                                                          618               539    12.78%          18                16    11.11%         450               353    21.56%         266               237    10.90%
bin/ch/HostConfigFlags.cpp                                                  267               255     4.49%          11                 9    18.18%         112                93    16.96%          62                57     8.06%
bin/ch/HostConfigFlags.h                                                      7                 7     0.00%           1                 1     0.00%          10                10     0.00%           4                 4     0.00%
bin/ch/MessageQueue.h                                                       104                92    11.54%          27                20    25.93%         161               137    14.91%          34                31     8.82%
bin/ch/RuntimeThreadData.cpp                                                124               123     0.81%           6                 5    16.67%          79                76     3.80%          24                24     0.00%
bin/ch/WScriptJsrt.cpp                                                     2358              1953    17.18%          71                60    15.49%        1732              1521    12.18%         796               710    10.80%
bin/ch/WScriptJsrt.h                                                         45                45     0.00%           4                 4     0.00%          33                33     0.00%          20                20     0.00%
bin/ch/ch.cpp                                                              1055               861    18.39%          21                16    23.81%         712               511    28.23%         312               249    20.19%
bin/ch/stdafx.h                                                              62                27    56.45%          17                10    41.18%         114                46    59.65%          30                17    43.33%
lib/Backend/AgenPeeps.cpp                                                   276               276     0.00%           7                 7     0.00%         165               165     0.00%         210               210     0.00%
lib/Backend/AgenPeeps.h                                                       1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
lib/Backend/AsmJsJITInfo.cpp                                                 75                75     0.00%          13                13     0.00%          51                51     0.00%          16                16     0.00%
lib/Backend/AsmJsJITInfo.h                                                    4                 4     0.00%           4                 4     0.00%           4                 4     0.00%           0                 0         -
lib/Backend/BackendApi.cpp                                                  137               101    26.28%          25                16    36.00%         121                80    33.88%          42                34    19.05%
lib/Backend/BackendOpCodeAttrAsmJs.cpp                                       48                48     0.00%           5                 5     0.00%          23                23     0.00%          10                10     0.00%
lib/Backend/BackwardPass.cpp                                              11762             11762     0.00%         167               167     0.00%        7436              7436     0.00%        5492              5492     0.00%
lib/Backend/BackwardPass.h                                                   11                11     0.00%           7                 7     0.00%          24                24     0.00%           4                 4     0.00%
lib/Backend/BailOut.cpp                                                    3084              3084     0.00%          60                60     0.00%        2097              2097     0.00%        1446              1446     0.00%
lib/Backend/BailOut.h                                                        83                83     0.00%          25                25     0.00%          93                93     0.00%          24                24     0.00%
lib/Backend/CaseNode.cpp                                                     36                36     0.00%           3                 3     0.00%          34                34     0.00%          14                14     0.00%
lib/Backend/CaseNode.h                                                      109               109     0.00%          18                18     0.00%          58                58     0.00%          26                26     0.00%
lib/Backend/CodeGenAllocators.cpp                                             3                 0   100.00%           3                 0   100.00%           7                 0   100.00%           0                 0         -
lib/Backend/CodeGenWorkItem.cpp                                             139                99    28.78%           9                 4    55.56%         141                95    32.62%          52                37    28.85%
lib/Backend/CodeGenWorkItem.h                                               191               180     5.76%          43                32    25.58%         141               110    21.99%          42                42     0.00%
lib/Backend/DbCheckPostLower.cpp                                            797               797     0.00%          10                10     0.00%         325               325     0.00%         368               368     0.00%
lib/Backend/DbCheckPostLower.h                                                1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
lib/Backend/EhFrame.cpp                                                      96                51    46.88%          11                 1    90.91%         121                28    76.86%          36                24    33.33%
lib/Backend/EhFrame.h                                                       116                62    46.55%          28                 2    92.86%          58                 4    93.10%          20                15    25.00%
lib/Backend/EmitBuffer.cpp                                                  576               464    19.44%          23                 9    60.87%         369               243    34.15%         190               158    16.84%
lib/Backend/EmitBuffer.h                                                      3                 1    66.67%           3                 1    66.67%           3                 1    66.67%           0                 0         -
lib/Backend/Encoder.cpp                                                    2027              2027     0.00%          38                38     0.00%        1459              1459     0.00%         656               656     0.00%
lib/Backend/Encoder.h                                                         1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
lib/Backend/EquivalentTypeSet.cpp                                           148               148     0.00%           8                 8     0.00%         121               121     0.00%          70                70     0.00%
lib/Backend/EquivalentTypeSet.h                                               4                 4     0.00%           4                 4     0.00%          12                12     0.00%           0                 0         -
lib/Backend/ExternalLowerer.h                                                 1                 1     0.00%           1                 1     0.00%           3                 3     0.00%           0                 0         -
lib/Backend/FixedFieldInfo.cpp                                               27                27     0.00%          11                11     0.00%          59                59     0.00%          10                10     0.00%
lib/Backend/FixedFieldInfo.h                                                  1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
lib/Backend/FlowGraph.cpp                                                  6223              6223     0.00%         103               103     0.00%        4218              4218     0.00%        2720              2720     0.00%
lib/Backend/FlowGraph.h                                                     170               170     0.00%          63                63     0.00%         160               160     0.00%          42                42     0.00%
lib/Backend/Func.cpp                                                       2397              2397     0.00%         112               112     0.00%        1263              1263     0.00%         784               784     0.00%
lib/Backend/Func.h                                                          755               755     0.00%         136               136     0.00%         442               442     0.00%         246               246     0.00%
lib/Backend/FunctionCodeGenJitTimeData.cpp                                  672               672     0.00%          20                20     0.00%         159               159     0.00%         170               170     0.00%
lib/Backend/FunctionCodeGenJitTimeData.h                                     83                83     0.00%          17                17     0.00%          47                47     0.00%          20                20     0.00%
lib/Backend/FunctionJITRuntimeInfo.cpp                                       23                23     0.00%           3                 3     0.00%          10                10     0.00%           4                 4     0.00%
lib/Backend/FunctionJITTimeInfo.cpp                                         614               614     0.00%          38                38     0.00%         336               336     0.00%         192               192     0.00%
lib/Backend/GlobHashTable.h                                                 162               162     0.00%          19                19     0.00%         180               180     0.00%          68                68     0.00%
lib/Backend/GlobOpt.cpp                                                   22041             22041     0.00%         294               294     0.00%       13911             13911     0.00%       11310             11310     0.00%
lib/Backend/GlobOpt.h                                                       215               215     0.00%          50                50     0.00%         130               130     0.00%          52                52     0.00%
lib/Backend/GlobOptArrays.cpp                                              2828              2828     0.00%          19                19     0.00%        1599              1599     0.00%        1276              1276     0.00%
lib/Backend/GlobOptArrays.h                                                  18                18     0.00%           1                 1     0.00%           3                 3     0.00%           4                 4     0.00%
lib/Backend/GlobOptBailOut.cpp                                             2379              2379     0.00%          36                36     0.00%        1303              1303     0.00%         996               996     0.00%
lib/Backend/GlobOptBlockData.cpp                                           1708              1708     0.00%          49                49     0.00%        1309              1309     0.00%         716               716     0.00%
lib/Backend/GlobOptBlockData.h                                              110               110     0.00%          20                20     0.00%          69                69     0.00%          28                28     0.00%
